Model,Accuracy,Precision,Recall,F1_Score
Logistic Regression,0.9919821826280624,0.9881780250347705,0.9950980392156863,0.9916259595254711
Naive Bayes,0.9636971046770602,0.963249063670412,0.9605508870214753,0.9618980832164563
Linear SVM,0.9969933184855234,0.9960382195292473,0.9976657329598506,0.9968513119533527
